url_length,tiny_url,pref_suf,https_token,iframe,anchor_tag,Favicon,SFH,requestURL,LinksInTags,label
39,1,1,1,1,1,0,0,1,0.5,1
45,1,1,1,1,0.117647059,0,0,0.3,0.666666667,0
33,1,1,0,1,1,1,1,0,0.5,1
27,1,1,0,1,1,0,0,1,0.333333333,1
70,0,1,1,1,0.830985915,0,1,0,0.194444444,0
42,1,1,1,1,1,1,1,0,0.214285714,0
27,1,1,1,1,1,0,0,0,0,0
83,1,1,0,1,0,1,0,1,0.75,1
45,1,0,0,1,1,0,0,1,0.833333333,1
25,1,1,1,1,0.994505495,1,1,1,0.727272727,0
138,0,1,1,1,0,0,0,0,0,1
52,1,1,1,1,0.94972067,0,0,0,0.163934426,0
44,1,0,0,1,1,1,1,0,0.5,1
101,1,1,1,1,0.341772152,1,1,1,0.535714286,0
33,1,1,1,1,1,0,1,0,0.125,0
47,1,1,1,1,1,1,0,0,0.222222222,0
44,1,1,0,1,0,1,1,0,0,0
21,1,1,1,1,0.919708029,1,0,1,0.212121212,0
77,1,1,1,1,1,0,1,0.692307692,0.384615385,0
26,0,1,1,1,0,0,0,0,0.052631579,1
61,1,0,1,1,0.991869919,0,0,0.564102564,0.177777778,0
27,1,0,1,1,1,0,0,1,0.833333333,1
96,1,1,1,1,0.431137725,1,0,0.75,0.931034483,0
86,1,0,1,1,0.142857143,0,1,0,0.166666667,0
42,1,1,1,1,0.762376238,0,0,0.888888889,0.864864865,0
25,1,1,1,1,0.744680851,1,0,0,0.361111111,0
50,1,1,1,1,0.774390244,0,0,1,0.466666667,0
87,1,1,0,1,0.074688797,0,1,1,0.3,0
55,1,1,1,1,0.16509434,1,1,1,0.571428571,0
91,1,1,1,1,0.231404959,1,1,0,0.810126582,0
34,1,1,0,1,1,1,1,0,0.5,1
48,1,1,1,1,1,1,0,0,0,0
56,0,0,0,1,1,0,0,0,0,1
26,1,1,1,1,0.998817967,1,0,0,0.277777778,0
74,1,1,1,1,0.198529412,1,0,0.933333333,0.512820513,0
62,1,1,0,1,1,1,0,1,1,1
28,1,1,1,1,0.150684932,1,1,1,0.571428571,0
55,1,1,1,1,0.697802198,1,1,0.033333333,0.051282051,0
52,0,1,0,1,1,1,0,1,1,1
24,1,1,1,1,0.958333333,0,1,0,0,0
36,1,1,1,1,1,1,0,0,0.269230769,0
22,1,1,1,1,0.5,1,1,1,0,0
64,1,1,1,1,0,1,1,0,0,0
78,1,1,1,1,0.923728814,1,1,1,0.5,0
67,1,1,1,1,0.941176471,1,1,0,0.035714286,0
59,1,1,1,1,0.986842105,1,1,1,0.692307692,0
79,1,1,0,1,1,0,0,0,0,1
20,1,1,1,1,0,1,1,0,0.6,0
34,1,0,1,1,0.973684211,1,1,1,0.4,0
178,1,1,0,1,1,0,0,0,0,1
70,1,1,1,1,0.331360947,0,0,1,0.529411765,0
44,1,1,0,1,1,1,0,1,1,1
39,1,1,1,1,1,1,0,1,0.904761905,1
96,1,0,0,1,1,0,0,0,0,1
24,1,1,1,1,0,1,1,0,0,0
27,1,1,0,1,0,1,1,0,0,0
19,1,1,1,1,1,1,0,0,0.153846154,1
71,1,1,1,1,0,1,1,0,0,0
41,0,1,1,1,0.282894737,1,0,1,0.8125,0
84,1,1,1,1,0.354166667,0,0,0,0,0
89,1,1,1,1,0.830687831,1,0,0,0.076923077,0
68,1,1,0,1,0.981510622,1,0,1,0.571428571,0
90,1,1,1,1,1,1,0,0.5,0.111111111,0
56,1,1,0,1,0.090909091,1,1,0.333333333,0.854166667,0
92,1,1,0,1,0,1,0,0,1,1
100,1,1,1,1,0.962962963,1,0,0,0.363636364,0
31,1,1,0,1,1,1,0,0.409090909,0.090909091,0
48,1,1,0,1,1,1,0,0,0.090909091,1
36,1,1,1,1,0.28,1,1,1,0.90625,0
45,1,1,0,1,1,0,1,0.333333333,0.666666667,1
127,1,1,1,1,0,1,1,0,1,1
118,1,1,0,1,0,0,0,0,0,1
72,1,1,1,1,0.121212121,1,1,0.454545455,0.904761905,0
63,1,1,1,1,0.517241379,0,1,1,0.833333333,0
57,1,0,0,1,0.41509434,1,1,0.6,0.5,0
77,0,0,1,1,0,1,1,0,0,1
51,1,1,1,1,0.979166667,0,0,0,0.1,0
47,1,1,1,1,1,0,0,0,0.027777778,0
58,1,0,1,1,0.110169492,1,0,1,0.5,0
19,1,1,0,1,1,0,0,0,0.055555556,1
90,1,1,1,1,0.965811966,1,1,0.5,0.096774194,0
70,1,1,0,1,0,0,1,0,0,1
41,1,1,1,1,0.2,0,1,0,0.25,1
78,1,1,0,1,1,0,1,0,0,1
53,1,0,1,1,0,0,1,0,0,1
43,1,1,1,1,0.75,1,0,1,0.8,0
150,1,1,1,1,0,1,1,0,1,0
68,1,1,0,1,1,0,0,0.974358974,0.857142857,1
62,1,0,0,1,1,0,1,0.666666667,0.4,1
52,1,1,1,1,0.151515152,1,1,0,0.302325581,0
170,1,1,1,1,0.666666667,0,1,1,0.153846154,0
23,1,0,1,1,1,1,1,0,0.428571429,1
146,1,1,0,1,1,1,1,1,1,1
107,1,1,0,1,1,0,0,0,0.05,1
29,1,1,1,1,1,0,1,0,0,1
115,0,1,1,1,1,1,1,0,0,0
105,1,1,1,1,0.511111111,0,1,0,0.142857143,0
91,1,1,1,1,0.147727273,1,1,0.6,0.8,0
94,1,0,1,1,1,0,0,0,0,1
25,1,1,1,1,0.465517241,1,1,0,0.265306122,0
32,1,1,1,1,0,0,0,0,0.2,1
61,1,1,1,1,0.544,1,1,0.818181818,0.941176471,0
423,1,0,0,1,0,1,1,0,0,1
66,1,1,1,1,1,0,0,0.533333333,0.04,0
54,1,0,0,1,0,1,1,0,0,0
153,1,1,1,1,0.1875,1,1,1,0.904761905,0
95,1,1,1,1,0.9375,1,1,0.484848485,0.8,0
79,1,1,0,1,0,0,1,0,0,1
60,1,1,1,1,1,0,0,0,0,1
63,1,1,0,1,0,1,1,0,0,1
87,1,1,1,1,0.020833333,1,1,0,0.6,1
45,1,1,1,1,1,1,1,1,0.6,0
50,1,1,1,1,0,1,1,0,0.72815534,0
35,1,0,1,1,0,1,1,1,1,1
80,1,1,1,1,0,1,0,1,1,1
211,1,1,0,1,1,0,0,0.9,0.769230769,1
62,1,1,1,1,0.578947368,1,1,0.833333333,1,0
55,1,0,1,1,1,0,0,1,0.833333333,1
140,1,1,1,1,1,1,0,0,0.375,0
28,1,1,1,1,0.973684211,0,0,0,0,0
46,1,1,1,1,0.975683891,0,1,0.363636364,0.666666667,0
31,1,1,1,1,1,0,0,0.5,0.25,1
45,1,1,0,1,1,1,0,0,0.625,1
87,1,1,1,1,1,1,1,1,1,1
33,1,1,1,1,1,0,0,0,0.125,0
39,1,1,1,1,0.714285714,1,1,0.026315789,0.761904762,0
93,1,1,1,1,0.19047619,1,0,0,0.565217391,0
60,1,1,1,1,0.847457627,1,1,1,0.625,0
38,1,1,1,1,0,0,1,0,0.352941176,0
61,1,1,1,1,0.205128205,1,1,0.368421053,0.59375,0
53,1,1,1,1,0.962962963,1,0,0.2,0.714285714,0
44,1,1,1,1,0.978723404,1,0,0.777777778,0.125,0
59,1,1,1,1,0,0,1,0,0.142857143,0
153,0,0,0,1,1,1,1,0,0.333333333,1
33,1,1,0,1,1,0,0,0,0,0
32,1,1,1,1,0.666666667,1,0,1,0.722222222,0
48,1,1,1,1,0,1,1,0,1,1
67,1,0,1,1,0,1,1,0,1,1
47,1,0,1,1,0.666666667,1,1,0.96,0.266666667,0
44,1,0,1,1,1,1,0,0,0.625,1
61,1,1,1,1,0.333333333,0,0,0,0.19047619,0
68,1,1,1,1,0.633802817,1,1,0,0.785714286,0
38,1,1,1,1,0.260115607,1,1,1,0.767857143,0
53,1,1,1,1,0.207843137,0,0,1,0.6,0
55,1,0,1,1,1,0,0,0,0,1
35,1,1,1,1,0,1,1,0,0,1
99,1,1,1,1,1,1,1,0.032258065,0.458333333,0
31,1,1,0,1,1,1,0,0.333333333,0.25,1
31,1,1,1,1,0.875,1,1,0,0.666666667,0
84,0,1,1,1,0,1,1,0,0,0
56,1,0,0,1,1,0,0,0.25,0.631578947,1
66,1,1,1,1,0.013793103,1,1,0.333333333,0.463414634,0
103,0,1,1,1,1,0,0,0.033333333,0.043478261,0
64,1,1,1,1,1,0,0,0,0.066666667,0
49,1,1,0,1,1,0,1,1,0.571428571,1
79,1,0,0,1,0,1,1,0,0,1
21,1,1,1,1,0.901960784,0,0,0.6,0.111111111,0
46,1,1,0,1,0.978723404,1,1,1,0.739130435,0
78,1,1,1,1,0.408866995,1,1,0,0.538461538,0
50,1,1,0,1,0,1,1,0,0,0
115,1,1,1,1,0.135135135,1,1,0.896907216,0.16,0
93,1,1,1,1,0.385964912,0,0,0,0.302325581,0
20,1,1,1,1,0.258823529,1,0,1,0.885245902,0
105,1,1,1,1,0.88,1,1,0.857142857,0.909090909,0
85,1,0,0,1,1,1,0,1,0.333333333,1
38,1,1,1,1,1,1,0,1,0.904761905,1
51,1,1,1,1,0.104166667,1,1,0.75,0.88,0
39,1,0,0,1,1,1,1,1,0.642857143,1
89,1,1,1,1,0.238596491,1,1,0,0.5625,0
21,1,1,1,1,0.961414791,1,0,1,0.967741935,0
34,1,0,1,1,1,0,0,1,0.833333333,1
71,1,1,0,1,0,1,1,0,0,1
69,1,1,0,1,0.18556701,0,1,1,0.24137931,0
77,1,0,0,1,1,1,0,1,0.625,1
49,1,1,0,1,1,0,0,0,0,1
42,1,1,1,1,0.892857143,1,0,0,0.117647059,0
28,1,1,1,1,0.985981308,1,0,0.6,0.076923077,0
69,1,1,1,1,0,1,1,0,0,0
72,0,0,1,1,0,1,1,0,0,1
74,1,1,1,1,1,1,0,1,0.228915663,0
53,1,1,1,1,1,1,1,1,0.2,1
60,1,0,1,1,1,0,0,0,0,1
112,1,1,0,1,0,1,0,1,1,1
96,1,1,1,1,0.964705882,0,0,0,0.2,0
85,1,1,0,1,0.484536082,1,1,0.130434783,0.848484848,0
40,0,1,1,1,0.557692308,1,1,1,0.714285714,0
48,1,1,0,1,1,1,0,1,0,1
44,1,1,1,1,1,1,1,0,0,0
156,1,1,1,1,0.526315789,0,1,0,0.230769231,0
92,1,1,1,1,0.16091954,1,1,0.5,0.851851852,0
39,1,1,0,1,1,1,1,1,1,0
72,1,1,1,1,0.736363636,1,1,0.666666667,0.117647059,0
34,1,0,1,1,1,1,1,1,0.428571429,1
120,1,1,0,1,1,1,0,1,0.5,1
45,0,1,1,1,0,1,1,1,0.125,0
26,1,1,1,1,0.868852459,1,1,0.941176471,0.85,0
91,1,1,1,1,0.906976744,1,0,0,0.575757576,0
84,1,1,0,1,1,1,0,1,0.625,1
37,1,1,1,1,1,0,0,1,0,1
39,1,1,1,1,1,0,1,1,0.384615385,0
50,1,1,1,1,0.987654321,1,0,0.8,0.785714286,0
94,1,1,1,1,0,0,0,0,0,1
38,1,1,1,1,0.966292135,1,1,0.72,0.93442623,0
54,1,1,1,1,1,0,0,0,0,0
93,1,1,1,1,0.337837838,1,1,1,0.571428571,0
42,1,1,1,1,0.984848485,0,1,0,0,0
33,0,1,1,1,0.384126984,1,1,0,0.4,0
40,1,1,0,1,1,1,0,1,1,1
28,1,1,1,1,1,1,0,0.5,0.583333333,1
48,1,0,0,1,0.115384615,1,0,0.666666667,1,0
28,1,1,0,1,0,1,1,0,0,0
65,1,1,1,1,0,1,1,0,0,0
29,1,1,0,1,0.798387097,0,1,0.397260274,0.185185185,0
64,1,1,1,1,1,0,1,0,0.2,0
70,1,0,0,1,1,0,0,0,0.166666667,1
183,1,1,1,1,0,1,0,0,1,1
108,1,1,0,1,1,1,0,1,0,1
45,1,1,1,1,1,0,0,0.333333333,0.153846154,0
73,1,0,1,1,1,0,0,1,0.833333333,1
214,0,1,0,1,1,1,0,1,0.5,1
60,1,0,0,1,1,1,1,1,0.2,1
38,1,1,1,1,1,0,1,0,0.25,1
45,1,0,1,1,1,0,0,1,0.833333333,1
52,1,1,0,1,0,1,1,0,0,1
49,1,1,1,1,1,0,0,0.3125,0.228571429,0
49,1,1,1,1,0.869565217,0,1,1,0.051282051,0
52,0,1,1,1,1,1,1,1,0.87037037,0
62,1,1,1,1,0.72,1,1,0.5,0.461538462,0
114,1,1,1,1,0,0,1,0.268292683,0,1
75,1,1,1,1,0.980769231,1,0,0.181818182,0.636363636,0
49,1,0,1,1,1,0,0,1,0.833333333,1
47,1,1,1,1,0.887850467,1,0,1,0.714285714,0
87,1,1,1,1,0.352459016,1,1,0.9,0.772727273,0
172,1,1,1,1,0.727272727,1,1,0,0.666666667,0
43,1,1,1,1,1,0,0,1,0.470588235,0
53,1,1,1,1,0.992565056,0,0,1,0.829787234,0
66,1,1,1,1,0,1,1,0,0,1
74,1,1,1,1,1,1,0,0,0.375,0
37,1,1,0,1,0.615384615,1,0,1,0.136363636,0
34,1,0,0,1,1,1,1,0,0,0
107,1,1,1,1,0,0,0,1,0,1
40,1,1,1,1,1,1,0,1,0.882352941,0
55,1,1,1,1,0,1,1,0,0.666666667,1
39,1,1,1,1,0,1,1,0,0,0
188,1,1,1,1,1,1,0,1,1,1
116,1,1,1,1,0.971698113,1,0,1,0.517241379,0
48,1,1,0,1,1,1,0,1,0.090909091,1
24,1,1,1,1,0,1,1,0,0,1
36,1,1,1,1,0.238095238,1,1,1,0.612244898,0
34,1,1,1,1,0.222222222,0,1,0,0.086206897,0
37,1,0,1,1,1,0,1,0,0,1
38,1,0,1,1,1,1,1,0,0.5,1
39,1,1,0,1,0.516129032,1,1,0.166666667,1,0
22,1,1,1,1,0.995454545,1,1,1,0.857142857,0
45,1,0,1,1,0,1,0,1,1,1
60,1,1,0,1,0,1,1,0,0,0
24,1,1,1,1,1,0,0,0,0.161290323,0
28,1,0,0,1,1,0,1,0,0,1
36,1,1,1,1,0.115384615,1,1,1,0.953125,0
32,1,1,1,1,0,0,1,1,0.272727273,1
62,1,1,1,1,0.944444444,1,1,0,0.4,0
37,1,0,0,1,1,0,0,1,0.833333333,1
46,1,0,1,1,1,0,0,0,0,1
54,1,1,1,1,0.901960784,0,1,0.964285714,0.84,0
70,1,1,1,1,1,1,0,1,0.275862069,0
24,1,1,1,1,0.201754386,0,0,0.666666667,0.756756757,0
64,1,1,1,1,1,0,0,0,0,1
33,1,1,1,1,0,0,1,0,0,0
38,1,1,1,1,0.385869565,1,1,0.428571429,0.952380952,0
40,1,0,1,1,1,0,0,0.2,0.181818182,1
56,1,1,1,1,0.068965517,0,0,0.833333333,0.571428571,0
110,1,1,1,1,0.466292135,0,1,0.017241379,0.717948718,0
115,0,1,1,1,0.83908046,1,0,0,0.085106383,0
62,1,1,1,1,0,1,1,0,0,0
19,1,1,1,1,1,0,1,1,0,0
56,0,1,1,1,1,1,1,0,0.1,0
39,1,1,1,1,1,0,0,0,0,1
81,1,1,1,1,1,0,1,0,0,0
45,1,1,1,1,1,1,0,1,0.909090909,1
74,0,1,1,1,0.845454545,0,0,0,0.130434783,0
75,1,1,0,1,0.246511628,1,1,0.777777778,0.482758621,0
55,1,1,1,1,1,1,0,0.2,0.4,1
29,1,0,0,1,1,1,1,1,0.5,1
51,1,1,0,1,1,1,0,0,0.625,1
35,1,1,1,1,0,1,1,0,0.166666667,0
172,1,0,1,1,0,1,1,0,0,1
45,0,0,1,1,1,0,0,1,0.833333333,1
52,1,1,1,1,1,0,0,0,0,1
95,1,1,1,1,0.930232558,1,0,0.9375,0.346153846,0
56,1,1,1,1,0.925925926,1,1,1,0.75,0
89,1,1,1,1,0.40625,1,1,0.9375,0.807692308,0
34,1,0,1,1,1,1,1,1,0.470588235,0
68,1,1,1,1,0,1,1,0,0,0
33,1,1,1,1,1,1,0,1,0.72,0
52,1,1,1,1,0.31147541,0,1,0,0.047619048,0
79,1,0,1,1,0,1,1,0,0,1
82,1,1,1,1,1,0,1,0,0.181818182,0
45,1,1,0,1,1,1,1,0,0.25,0
82,1,1,1,1,1,1,0,0,0,0
243,1,1,1,1,0,1,0,1,1,1
24,1,1,1,1,1,1,0,0.956521739,0.727272727,1
50,1,1,1,1,1,1,1,0,1,0
50,0,1,0,1,0,1,1,0,0,0
80,1,1,1,1,0,1,1,0,0,0
26,1,1,1,1,0.622222222,1,1,0,0.25,0
47,1,1,1,1,1,1,1,1,0.636363636,0
47,1,0,1,1,0.995024876,0,0,0.607843137,0.177777778,0
39,1,0,0,1,1,0,0,0,0,1
138,1,1,1,1,0.072,1,1,0.846153846,0.369230769,0
42,1,1,0,1,0,1,0,1,0.3,1
266,1,1,0,1,1,0,0,0,0,1
56,1,1,1,1,0.775280899,1,0,0,0.264705882,0
53,0,1,1,1,1,1,0,0.571428571,0.7,0
36,0,1,0,1,1,0,0,0,0,1
58,1,1,1,1,1,1,1,1,0.46875,0
65,1,1,1,1,1,1,1,1,0,0
26,1,1,1,1,0.666666667,0,0,0.666666667,0.25,1
28,0,1,1,1,0.310344828,0,1,1,0.714285714,0
48,1,1,1,1,0.813559322,0,1,0,0.875,0
75,1,1,1,1,0.059259259,1,1,1,0.8,0
26,1,1,0,1,0,1,1,0,0,1
55,1,1,1,1,0.970873786,1,0,0.6,0.538461538,0
42,1,1,1,1,1,1,0,0.5,0.333333333,1
387,1,1,1,1,0.309615385,1,0,0,0.117117117,0
48,1,1,1,1,0.302631579,0,0,0,0.47826087,0
30,1,1,1,1,1,0,0,0.666666667,0.166666667,1
106,1,1,1,1,1,1,0,0,0.4,0
29,1,1,1,1,0.988764045,0,1,0,0,0
36,1,1,1,1,0.255474453,1,1,1,0.913043478,0
34,1,1,1,1,0.981818182,1,0,1,0.906542056,0
60,1,0,1,1,0,0,1,0,0,1
48,1,0,1,1,0,1,1,0,0.2,1
97,1,1,0,1,0,1,1,0,0,1
37,1,1,0,1,1,1,1,0,0.666666667,0
46,1,1,1,1,1,0,0,0,0.076923077,0
96,1,1,0,1,0.481481481,1,1,0.5,0.363636364,0
60,1,1,1,1,1,0,0,0.033333333,0.307692308,0
33,1,1,1,1,1,1,0,1,0.333333333,0
60,1,1,1,1,0.982142857,1,1,1,0.902439024,0
58,0,1,1,1,0.483870968,1,1,1,0.961538462,0
57,1,0,1,1,1,0,0,1,0.833333333,1
19,1,1,1,1,0.034710744,0,0,0,0.0625,0
109,1,1,0,1,0,1,1,0,0,1
47,1,1,0,1,1,0,1,0,0.5,0
41,1,0,1,1,1,0,0,1,0.833333333,1
23,0,1,1,1,0.777777778,1,1,1,0.823529412,0
61,1,1,1,1,1,0,0,0,0.0625,0
59,1,1,1,1,0.489361702,0,1,0.105263158,0,0
68,1,1,1,1,0.285714286,1,1,1,0.666666667,0
85,0,1,1,1,0.883116883,0,1,0.948717949,0.484848485,0
39,0,1,1,1,1,0,0,0,0,1
44,0,1,0,1,1,1,0,1,0.916666667,1
55,1,1,1,1,1,1,0,0,0.4,1
45,1,0,1,1,0.155279503,1,1,1,0.793103448,0
65,1,1,1,1,0.90625,0,0,0,0.071428571,0
76,1,1,1,1,0.041152263,1,1,0,0.34375,0
33,1,1,1,1,1,1,0,0,0.625,1
121,1,1,1,1,1,1,0,1,1,0
35,1,0,1,1,0,0,1,0,0.666666667,1
41,1,0,0,1,1,0,0,0,0.089285714,1
49,1,0,0,1,0.083333333,1,0,0,0.666666667,1
36,1,1,1,1,1,0,1,0,0,1
50,1,1,1,1,0.977777778,0,0,1,0.696969697,0
99,1,0,1,1,0.434210526,1,1,0.933333333,0.902912621,0
31,1,0,1,1,1,1,0,1,0.666666667,1
70,1,1,0,1,0.20754717,1,1,1,0.9625,0
49,0,1,1,1,1,0,1,0,0.085714286,0
37,1,1,1,1,0,1,1,0,0.230769231,1
26,1,1,1,1,0.985915493,0,0,0,0.028571429,0
